experiment,mean_subject_balanced_accuracy,accuracy,train_score,subjects,trials,ci_low,ci_high
random_spectral,0.5133682058682059,0.5119047619047619,0.6427535722504764,30,336,0.4452761093073593,0.5780537818662818
later_run_spectral,0.5782738095238096,0.5749440715883669,0.6544841269841271,30,447,0.52796875,0.6285714285714284
grouped_spectral,0.5334117573248008,0.5331841909023117,0.6597118637200159,30,1341,0.5005811903977666,0.5669162706255098
random_csp,0.47324494949494944,0.47619047619047616,0.5561703419559456,30,336,0.40644914923039926,0.5401715668590669
later_run_csp,0.5064484126984127,0.5100671140939598,0.5546428571428571,30,447,0.46805307539682534,0.5483134920634921
grouped_csp,0.5326208513708514,0.5324384787472036,0.5879324429596169,30,1341,0.5106350676799047,0.5572821479547023
grouped_majority,0.5,0.5078299776286354,0.5,30,1341,0.5,0.5
grouped_metadata,0.4981144258318172,0.5003728560775541,0.5020745106342932,30,1341,0.4887438339136709,0.5077401146558755
grouped_central,0.5444504569504569,0.5443698732289336,0.5852934756467365,30,1341,0.5206146480331263,0.5710213548528765
grouped_occipital,0.5390906999602652,0.5413870246085011,0.5581265554091641,30,1341,0.5170803009389967,0.5620685602139407
