subject,n,accuracy,balanced_accuracy
10,45,0.5333333333333333,0.5238095238095237
11,45,0.4888888888888889,0.4851778656126482
14,45,0.4444444444444444,0.44762845849802374
15,45,0.4888888888888889,0.4851778656126482
18,45,0.4666666666666667,0.47035573122529645
20,45,0.4888888888888889,0.4851778656126482
25,45,0.4666666666666667,0.47035573122529645
26,45,0.5333333333333333,0.5238095238095237
36,45,0.4888888888888889,0.4851778656126482
39,45,0.5333333333333333,0.5296442687747036
42,45,0.4666666666666667,0.47035573122529645
48,45,0.4666666666666667,0.47035573122529645
51,45,0.5333333333333333,0.5238095238095237
55,45,0.4888888888888889,0.4851778656126482
57,45,0.5111111111111111,0.5
59,45,0.5111111111111111,0.5
64,45,0.5333333333333333,0.5296442687747036
68,45,0.4444444444444444,0.44762845849802374
70,45,0.5111111111111111,0.5148221343873518
73,45,0.4888888888888889,0.4851778656126482
74,45,0.5555555555555556,0.5446428571428572
75,45,0.5111111111111111,0.5148221343873518
82,45,0.5111111111111111,0.5079051383399209
87,45,0.4666666666666667,0.47035573122529645
89,45,0.5555555555555556,0.5446428571428572
91,45,0.4666666666666667,0.47035573122529645
97,45,0.5333333333333333,0.5296442687747036
100,36,0.5277777777777778,0.5277777777777778
101,45,0.5111111111111111,0.5148221343873518
109,45,0.4888888888888889,0.4851778656126482
